Symbol,Date,Open,High,Low,Close,Adj Close,Volume
MET,2017-02-02,46.452763,46.782532,44.875221,45.864529,44.407768,15661300
MET,2017-02-03,46.657753,46.764706,45.962565999999995,46.14082,44.675282,10456500
MET,2017-02-06,45.650622999999996,46.515152,45.650622999999996,46.238861,44.770206,5885600
MET,2017-02-07,46.497326,46.684490000000004,46.051693,46.060608,44.597618,5642300
MET,2017-02-08,45.909092,46.024956,45.53476,45.802139000000004,44.347359000000004,6310500
MET,2017-02-09,46.105171,47.139038,46.016045,46.862743,45.374275,5909700
MET,2017-02-10,47.147949,47.504456,46.934048,47.156864,45.659054,4998200
MET,2017-02-13,47.531193,48.226383,47.531193,47.682709,46.168194,4940100
MET,2017-02-14,47.504456,48.208557,47.397503,48.021389,46.496117,4918200
MET,2017-02-15,48.208557,48.262032,47.745098,48.065952,46.539268,6785500
MET,2017-02-16,48.065952,48.297684000000004,47.718361,47.816399,46.297634,7509100
MET,2017-02-17,47.424244,47.549019,46.942959,47.210339000000005,45.710831,7975900
MET,2017-02-21,47.611408000000004,47.860962,47.352940000000004,47.549019,46.03875,5717400
MET,2017-02-22,47.210339000000005,47.852051,47.174686,47.664883,46.150936,5460900
MET,2017-02-23,47.754009,47.878788,47.477717999999996,47.736187,46.219975,5594400
MET,2017-02-24,47.067738,47.263813,46.711231,46.782532,45.296611999999996,6718400
MET,2017-02-27,46.925133,47.067738,46.720141999999996,46.934048,45.443314,7325700
MET,2017-02-28,46.737968,47.005348,46.568626,46.737968,45.253464,7492000
MET,2017-03-01,47.584671,48.877007,47.504456,48.422459,46.884449,10909400
MET,2017-03-02,48.475937,48.618538,47.549019,47.620319,46.107788,6564100
MET,2017-03-03,47.834225,49.081996999999994,47.789660999999995,48.868092,47.315926,8172600
MET,2017-03-06,47.798573,48.342247,47.629234000000004,48.065952,46.539268,6571900
MET,2017-03-07,47.878788,47.959003,47.379681,47.549019,46.03875,5285500
MET,2017-03-08,48.074867,48.368984000000005,47.611408000000004,47.647059999999996,46.133678,5312100
MET,2017-03-09,47.798573,48.128341999999996,47.611408000000004,47.789660999999995,46.271751,5026800
MET,2017-03-10,48.065952,48.360073,47.852051,48.146167999999996,46.616932,5302200
MET,2017-03-13,48.155079,48.484848,48.021389,48.270947,46.737751,5358600
MET,2017-03-14,47.994652,48.101603999999995,47.602497,48.030304,46.504753,3865200
MET,2017-03-15,48.208557,48.288769,47.620319,47.843136,46.323528,5908700
MET,2017-03-16,47.905525,48.422459,47.887699,48.146167999999996,46.616932,4891800
MET,2017-03-17,48.315509999999996,48.315509999999996,47.344028,47.557934,46.047385999999996,6909700
MET,2017-03-20,47.406418,47.620319,47.121212,47.352940000000004,45.848904,3934500
MET,2017-03-21,47.620319,47.727272,46.176472,46.274509,44.804722,6332700
MET,2017-03-22,45.757576,46.381462,45.347595,46.14082,44.675282,5288700
MET,2017-03-23,45.989304,46.925133,45.793228000000006,46.390373,44.916903999999995,5035000
MET,2017-03-24,46.559715000000004,46.987522,46.051693,46.354725,44.882393,4987600
